Date,Ok,So,etc
2024-02-23 14:01:39.142240,0,0,0
2024-02-23 14:01:42.911030,0,0,0
2024-02-23 14:01:45.108728,0,0,0
2024-02-23 14:01:49.646621,12,0,0
2024-02-23 14:01:50.531648,12,0,0
2024-02-23 14:01:50.864689,12,0,0
2024-02-23 14:01:53.119363,12,18,0
2024-02-23 14:03:04.188641,9,8,4
2024-02-23 14:03:09.040676,9,8,48
2024-02-23 14:03:18.376836,55,56,109
2024-02-23 14:03:19.619898,55,56,109
2024-02-23 14:03:23.382579,121,56,109
2024-02-23 14:03:24.802344,121,56,109
2024-02-23 14:03:33.686054,318,56,109
2024-02-23 14:03:35.471986,318,56,109
2024-02-23 14:04:13.392972,8,2,0
